NAME,ITEM_TYPE,KIND,DATE_TAKEN,CONTRIBUTING_ARTISTS,AUTHORS,FILE_EXTENSION,PATH,MEDIA_CREATED
1_attention,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_attention.ogg,
1_AtTheOldGrainMill (2)_5ca2681839015,OGG File,,,,,,,
1_AtTheOldGrainMill,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_AtTheOldGrainMill.ogg,
1_aukio (2),OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_aukio (2).ogg,
1_aukio (2)_5ca26818b23ce,OGG File,,,,,,,
1_auto (4),OGG File,,,,,,,
1_auto (5),OGG File,,,,,,,
1_auto (7),OGG File,,,,,,,
1_auto,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_auto.ogg,
1_auto_rocket_flying (2),OGG File,,,,,,,
1_auto_rocket_flying (3),OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_auto_rocket_flying (3).ogg,
1_auto_rocket_flying,OGG File,,,,,,,
1_awesome_1 (3),OGG File,,,,,,,
1_awesome_1 (4),OGG File,,,,,,,
1_awesome_1 (5),OGG File,,,,,,,
1_awesome_1,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_awesome_1.ogg,
1_awesome_2 (2),OGG File,,,,,,,
1_awesome_2 (3),OGG File,,,,,,,
1_awesome_2 (4),OGG File,,,,,,,
1_awesome_2 (5),OGG File,,,,,,,
